timestamp,SSIP,SDFP,SDFB,SFE,NIFE
15:59:55,18.0,0.0,0.0,48.0,1.5
15:59:58,18.0,0.0,0.0,24.0,7.0
16:00:01,18.0,0.0,0.0,132.0,1.5454545454545454
16:00:04,18.0,0.0,0.0,6.0,16.0
16:00:07,18.0,0.0,0.0,78.0,2.1538461538461537
16:00:10,18.0,0.0,0.0,24.0,4.0
16:00:13,18.0,0.0,0.0,42.0,4.857142857142857
16:00:16,7.0,0.0,0.0,11.0,0.9090909090909092
16:00:34,2.0,1.760681686165901,716.829205599214,39.0,0.8205128205128205
16:00:40,2.0,1.84758768314621,752.2069012061921,35.0,0.8
16:00:43,2.0,2.5491704329435825,1037.7640990415478,16.0,0.625
16:02:41,2.0,0.6614378277661477,390.2483183820271,8.0,0.5
16:02:44,2.0,1.3333333333333337,616.8603188317802,26.0,0.6923076923076923
16:02:47,2.0,2.2255183887726995,1042.2138163010932,35.0,0.6285714285714286
16:02:53,2.0,2.2255183887726995,1042.2138163010932,35.0,0.6285714285714286
16:02:59,2.0,2.2255183887726995,1042.2138163010932,35.0,0.6285714285714286
16:03:02,2.0,2.771236559032034,1298.0203776622484,0.0,0.0
16:04:50,1.0,0.0,0.0,1.0,0.0
16:05:00,1.0,0.0,0.0,1.0,0.0
16:05:24,1.0,0.0,0.0,1.0,0.0
16:05:33,1.0,0.0,0.0,1.0,0.0
16:06:00,1.0,0.0,0.0,1.0,0.0
16:06:09,1.0,0.0,0.0,1.0,0.0
16:06:12,2.0,3439.3689343637834,5200325.82875804,3.0,0.6666666666666666
16:06:15,2.0,3433.267183828774,5191099.981949105,3.0,0.6666666666666666
16:06:24,2.0,3414.9302579506166,5163374.550021333,3.0,0.6666666666666666
16:06:33,1.0,0.0,0.0,1.0,0.0
16:06:36,1.0,0.0,0.0,1.0,0.0
16:06:49,1.0,0.0,0.0,1.0,0.0
16:06:52,1.0,0.0,0.0,1.0,0.0
16:07:01,1.0,0.0,0.0,1.0,0.0
16:07:04,1.0,0.0,0.0,1.0,0.0
16:07:07,1.0,0.0,0.0,1.0,0.0
16:07:13,1.0,0.0,0.0,1.0,0.0
16:07:22,1.0,0.0,0.0,1.0,0.0
16:07:34,1.0,0.0,0.0,1.0,0.0
16:07:58,1.0,0.0,0.0,1.0,0.0
16:08:46,1.0,0.0,0.0,1.0,0.0
16:08:59,1.0,0.0,0.0,1.0,0.0
16:09:17,1.0,0.0,0.0,1.0,0.0
16:09:20,1.0,0.0,0.0,1.0,0.0
16:09:26,1.0,0.0,0.0,1.0,0.0
16:09:44,1.0,0.0,0.0,1.0,0.0
16:09:47,1.0,0.0,0.0,1.0,0.0
16:10:11,1.0,0.0,0.0,1.0,0.0
16:10:29,1.0,0.0,0.0,1.0,0.0
16:10:35,1.0,0.0,0.0,1.0,0.0
16:11:08,1.0,0.0,0.0,1.0,0.0
16:11:15,1.0,0.0,0.0,1.0,0.0
16:11:24,1.0,0.0,0.0,1.0,0.0
16:11:27,1.0,0.0,0.0,1.0,0.0
