SSIP,SDFP,SDFB,SFE,NIFE,SYN_ratio,ACK_ratio,UDP_ratio,ICMP_ratio,Pkt_rate,Byte_rate,entropy_src,entropy_dst,label
25,37.79317477159763,15606.358495917159,25,0.6781237583520879,0.3209413642492037,0.30300984622687344,0.3676538703114537,0.017824494936647457,268.7687278741082,11191.888777522814,3.7186379748036034,2.758032932155044,0
5,69.2871544057029,15172.33341968086,44,0.7468319373365805,0.2347627138851561,0.18345721246919883,0.3607900962378803,0.07829266304167906,163.86372655075604,26904.575926140104,3.777871341671642,2.322970643161383,0
29,53.56161815788387,4576.679337462514,16,0.7256427831696199,0.20318671674369135,0.17935626016660394,0.11303513287692916,0.05134823917046583,149.93046514128375,46891.814881126396,3.5788001980784583,2.4397674221106396,0
25,73.29638266549722,17649.01730528321,46,0.6673010065898309,0.12086654464712229,0.2983789955703131,0.33192050223660763,0.0986699368594682,442.12708840605876,44659.34667021078,3.880126225039166,2.680115453552653,0
16,41.385786800925935,9039.601903867864,27,0.8456371097104929,0.30506429966100024,0.1214207528735645,0.2904934864591181,0.058072588932673724,197.92437006057048,28490.40847404463,3.769947826784278,3.3880867694318266,0
27,68.98648206422524,14638.442266827868,13,0.6801668251874365,0.10963007317121133,0.1946359144177246,0.18032226279271085,0.028988455922769385,477.1638857340218,45054.70505890675,3.814677880798478,2.98315799794232,0
17,91.92782077206917,13928.481793407213,19,0.6927080582743184,0.17398825230819503,0.2684104402489452,0.1788224825568806,0.06261273912011865,459.12915344099076,25976.02020561589,3.7193207591572834,3.4963064097426653,0
21,64.54610844227417,15848.296678073542,17,0.6534944617718913,0.14799460051673508,0.30414436404889816,0.27892270921959217,0.04462905805070501,338.3553713444512,28721.99551138709,3.7514141199818134,2.829838844322931,0
5,77.6198387179563,4947.379630722673,44,0.8628072298570634,0.3305796197972338,0.2020526419093136,0.18805003859422786,0.024234197891020277,101.29812644069172,38883.68245239643,4.219680668885924,3.4578321483051715,0
29,42.5056316371092,18514.67326886195,50,0.7044556770070215,0.2916848484598016,0.28269106343145173,0.14585178056489045,0.07862597200676362,315.7516120478503,41145.05914522233,4.030353672195178,2.0008578441919154,0
