SSIP,SDFP,SDFB,SFE,NIFE,label
2,197.9898987322333,1876964225.6476352,2,1.0,0
3,35036.10230414717,1328481847.7567544,4,1.0,0
2,197.28279195104676,1876964178.9785876,2,1.0,0
3,35036.68358544608,1328547470.3327098,4,1.0,0
2,2322.8457761978084,12882385245.569895,2,1.0,0
2,2322.8457761978084,12882385245.569895,2,1.0,0
3,239785.38862630195,9118266223.523468,4,1.0,0
3,239786.26376334266,9118364459.067654,4,1.0,0
2,5537.353203471854,24048541973.342785,2,1.0,0
2,5535.93898990948,24048541348.26039,2,1.0,0
3,447102.7979160199,17021788273.379242,4,1.0,0
3,447103.6755886901,17021854304.955866,4,1.0,0
2,9458.967411932446,35070624828.95022,2,1.0,0
2,9458.26030515126,35070578175.45901,2,1.0,0
3,651258.9593466897,24823238250.67483,4,1.0,0
3,651260.1379605029,24823369519.143623,4,1.0,0
2,683750.2342149507,30116780175.280125,3,0.6666666666666666,0
2,683749.3510717213,30116780060.964867,3,0.6666666666666666,0
3,648719.5622206101,23337082220.86528,5,0.8,0
3,648719.7448151243,23337082229.154182,5,0.8,0
2,683595.5144896237,30116662940.19193,3,0.6666666666666666,0
2,683594.6313425328,30116662825.87667,3,0.6666666666666666,0
3,648669.7446981013,23337036776.29031,5,0.8,0
3,648669.5620695486,23337036768.001328,5,0.8,0
2,683440.794768891,30116545706.46476,3,0.6666666666666666,0
2,683439.9116179369,30116545592.149498,3,0.6666666666666666,0
3,648619.7626296935,23336991324.7441,5,0.8,0
3,648619.5799671022,23336991316.45504,5,0.8,0
3,486270.83856908156,16411760503.866184,10,1.0,0
2,0.0,0.0,2,1.0,0
4,452374.6339631266,15026830343.369888,12,1.0,0
5,424164.61515639094,13940918421.33211,14,1.0,0
3,486270.18497933156,16411761142.27709,10,1.0,0
2,0.0,0.0,2,1.0,0
3,492219.8668588504,17236178787.773865,10,1.0,0
5,439469.6671473145,14764829942.475527,14,1.0,0
4,464477.57045689283,15860875153.135683,12,1.0,0
2,0.0,0.0,2,1.0,0
2,0.0,0.0,2,1.0,0
3,492219.2896885606,17236185065.876026,10,1.0,0
3,539156.447109948,19268506457.95386,10,1.0,0
5,487932.3509768564,16579931288.64063,14,1.0,0
3,539155.9630970636,19268506533.470028,10,1.0,0
4,513056.1029024772,17778674354.890903,12,1.0,0
2,0.0,0.0,2,1.0,0
2,0.0,0.0,2,1.0,0
3,508379.0076146437,16846034914.553488,9,0.8888888888888888,0
2,0.0,0.0,2,1.0,0
2,0.0,0.0,2,1.0,0
5,432966.4331788054,14017642671.613937,13,0.9230769230769231,0
4,466378.1288395618,15238395216.475039,11,0.9090909090909091,0
3,508378.78668291663,16846034892.553509,9,0.8888888888888888,0
3,508362.1269453116,16846018002.221247,9,0.8888888888888888,0
2,0.0,0.0,2,1.0,0
4,466365.9063343445,15238382967.01084,11,0.9090909090909091,0
5,432956.9460784341,14017633268.451216,13,0.9230769230769231,0
3,508361.9060135702,16846017980.22127,9,0.8888888888888888,0
2,0.0,0.0,2,1.0,0
3,508345.2614142883,16846001090.95504,9,0.8888888888888888,0
5,432947.4031349625,14017623861.64525,13,0.9230769230769231,0
2,0.0,0.0,2,1.0,0
2,0.0,0.0,2,1.0,0
3,508345.0404825392,16846001068.955065,9,0.8888888888888888,0
4,466353.607517807,15238370712.596518,11,0.9090909090909091,0
3,508328.41102308064,16845984180.754871,9,0.8888888888888888,0
2,0.0,0.0,2,1.0,0
2,0.0,0.0,2,1.0,0
4,466341.3223188277,15238358459.151644,11,0.9090909090909091,0
5,432937.8726521736,14017614455.733603,13,0.9230769230769231,0
3,508328.19009133044,16845984158.754896,9,0.8888888888888888,0
4,441803.01574024395,14831643308.940416,12,1.0,0
6,448777.6070698418,14589857540.384037,12,1.0,0
4,11.547005383792516,1131.6065276116665,4,1.0,0
7,418675.7916367829,13507872394.503723,14,1.0,0
4,486112.2902353712,15981894315.106007,10,1.0,0
4,11.547005383792516,1131.6065276116665,4,1.0,0
4,483730.3755801695,16649030928.164858,12,1.0,0
6,448777.1397883431,14589857509.470575,12,1.0,0
4,486111.9738588471,15981894294.410692,10,1.0,0
7,418675.2467253766,13507872358.17873,14,1.0,0
4,11.547005383792516,1131.6065276116665,4,1.0,0
4,11.547005383792516,1131.6065276116665,4,1.0,0
4,567329.8823773212,19644567032.127026,12,1.0,0
7,418674.70181893045,13507872321.853737,14,1.0,0
4,486111.65748540853,15981894273.715378,10,1.0,0
4,11.547005383792516,1131.6065276116665,4,1.0,0
4,11.547005383792516,1131.6065276116665,4,1.0,0
6,448776.67251121957,14589857478.557114,12,1.0,0
4,545894.616377024,17812378518.277122,11,0.9090909090909091,0
4,314.29774327629434,476730.22639853664,8,1.0,0
7,253.44588807439388,388873.75999634765,12,1.0,0
4,10.969655114602888,1075.0262012310832,4,1.0,0
4,10.969655114602888,1075.0262012310832,4,1.0,0
6,278.48488887789466,426079.52473483945,10,1.0,0
4,545882.3524601915,17812366308.743187,11,0.9090909090909091,0
6,278.1502591526146,426038.74224378547,10,1.0,0
7,253.06844205399526,388828.0523768206,12,1.0,0
4,10.969655114602888,1075.0262012310832,4,1.0,0
4,10.969655114602888,1075.0262012310832,4,1.0,0
4,314.0191076988787,476700.68211404944,8,1.0,0
4,545870.0552329947,17812354054.374977,11,0.9090909090909091,0
4,10.969655114602888,1075.0262012310832,4,1.0,0
6,277.82386506562034,425998.00995575864,10,1.0,0
4,313.7463716352521,476671.17485537136,8,1.0,0
7,252.70014569913417,388782.4000176901,12,1.0,0
4,10.969655114602888,1075.0262012310832,4,1.0,0
4,486745.14514912956,15749628952.147959,14,1.0,0
4,10.969655114602888,1075.0262012310832,4,1.0,0
4,32827.924682603174,1135193375.4390721,6,1.0,0
4,22.808989455914087,2228.199497352066,4,1.0,0
4,10.969655114602888,1075.0262012310832,4,1.0,0
